Ticker,Indicator,Use,Params_Opt,Params_Emp,Sharpe_Opt,Sharpe_Emp,MDD_Opt,MDD_Emp,Sharpe_Improved,MDD_Improved
NVDA,sma,0,,[20],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,ema,1,[1],[20],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,rsi,0,,"[14, 30]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,roc,1,[15],[14],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,macd,1,"[21, 74, 5]","[12, 26, 9]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,bb,1,"[74, 5]","[20, 2]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
TSLA,sma,0,,[20],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,ema,1,[1],[20],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,rsi,1,"[1, 1]","[14, 30]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,roc,0,,[14],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,macd,1,"[35, 20, 72]","[12, 26, 9]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,bb,1,"[20, 72]","[20, 2]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
MSFT,sma,1,[1],[20],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,ema,1,[1],[20],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,rsi,1,"[1, 1]","[14, 30]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,roc,0,,[14],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,macd,0,,"[12, 26, 9]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,bb,1,"[17, 20]","[20, 2]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
AAPL,sma,0,,[20],-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
AAPL,ema,0,,[20],-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
AAPL,rsi,1,"[1, 29]","[14, 30]",-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
AAPL,roc,1,[29],[14],-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
AAPL,macd,1,"[45, 29, 52]","[12, 26, 9]",-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
AAPL,bb,1,"[29, 52]","[20, 2]",-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
BRK-B,sma,0,,[20],-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
BRK-B,ema,0,,[20],-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
BRK-B,rsi,0,,"[14, 30]",-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
BRK-B,roc,1,[29],[14],-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
BRK-B,macd,1,"[67, 12, 17]","[12, 26, 9]",-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
BRK-B,bb,1,"[12, 17]","[20, 2]",-0.6422940530478248,-0.15427483701036013,-0.6015633281795234,-0.3978880843283765,False,False
AMZN,sma,0,,[20],0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
AMZN,ema,0,,[20],0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
AMZN,rsi,0,,"[14, 30]",0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
AMZN,roc,1,[30],[14],0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
AMZN,macd,1,"[47, 14, 11]","[12, 26, 9]",0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
AMZN,bb,1,"[14, 11]","[20, 2]",0.13124447376450382,-0.16879569676868308,-0.6318453795641783,-0.7263640016322225,True,True
META,sma,0,,[20],-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
META,ema,1,[1],[20],-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
META,rsi,0,,"[14, 30]",-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
META,roc,1,[20],[14],-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
META,macd,1,"[27, 65, 18]","[12, 26, 9]",-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
META,bb,1,"[65, 18]","[20, 2]",-0.3467924043025589,-0.25781808300807024,-0.7016471556466211,-0.7541457695907914,False,True
JNJ,sma,0,,[20],-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
JNJ,ema,0,,[20],-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
JNJ,rsi,0,,"[14, 30]",-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
JNJ,roc,1,[28],[14],-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
JNJ,macd,1,"[36, 14, 6]","[12, 26, 9]",-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
JNJ,bb,1,"[14, 6]","[20, 2]",-0.2986795416060082,0.33946172998227836,-0.46311855582728567,-0.2672697621461092,False,False
GOOGL,sma,1,[1],[20],0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
GOOGL,ema,1,[1],[20],0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
GOOGL,rsi,1,"[1, 1]","[14, 30]",0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
GOOGL,roc,0,,[14],0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
GOOGL,macd,1,"[40, 22, 6]","[12, 26, 9]",0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
GOOGL,bb,1,"[22, 6]","[20, 2]",0.611952605498057,-0.3090255024327021,-0.5047788260984496,-0.43492460377365116,True,False
UNH,sma,0,,[20],0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
UNH,ema,1,[1],[20],0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
UNH,rsi,1,"[1, 1]","[14, 30]",0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
UNH,roc,0,,[14],0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
UNH,macd,1,"[17, 17, 76]","[12, 26, 9]",0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
UNH,bb,1,"[17, 76]","[20, 2]",0.49564350776941996,-0.2309852795569652,-0.2258373272177855,-0.4922195283608948,True,True
